Услуга,Поломка
Замена дисплея в сборе - ORIG,Разбит экран
Замена дисплея в сборе - ORIG,Разбито стекло
Замена дисплея в сборе - ORIG,Не устраивает качество дисплея/цветопередачи
Замена дисплея в сборе - ORIG,Нет изображения на дисплее
Замена дисплея в сборе - ORIG,Артефакты на дисплее
Замена дисплея в сборе - ORIG,Произвольные срабатывания тачскрина
Замена дисплея в сборе - ORIG,Некорректно работает тачскрин
Замена дисплея в сборе - ORIG,Пятно на дисплее
Замена дисплея в сборе - ORIG,Нет подсветки
Замена дисплея в сборе - ORIG,Не работает экран
Замена дисплея в сборе - ORIG,Повреждена матрица
Замена дисплея в сборе - ORIG,Не работает Touchscreen
Замена дисплея в сборе - КОПИЯ,Разбит экран
Замена дисплея в сборе - КОПИЯ,Разбито стекло
Замена дисплея в сборе - КОПИЯ,Не устраивает качество дисплея/цветопередачи
Замена дисплея в сборе - КОПИЯ,Нет изображения на дисплее
Замена дисплея в сборе - КОПИЯ,Артефакты на дисплее
Замена дисплея в сборе - КОПИЯ,Произвольные срабатывания тачскрина
Замена дисплея в сборе - КОПИЯ,Некорректно работает тачскрин
Замена дисплея в сборе - КОПИЯ,Пятно на дисплее
Замена дисплея в сборе - КОПИЯ,Нет подсветки
Замена дисплея в сборе - КОПИЯ,Не работает экран
Замена дисплея в сборе - КОПИЯ,Повреждена матрица
Замена дисплея в сборе - КОПИЯ,Не работает Touchscreen
Замена дисплея в сборе - КОПИЯ A+,Разбит экран
Замена дисплея в сборе - КОПИЯ A+,Разбито стекло
Замена дисплея в сборе - КОПИЯ A+,Не устраивает качество дисплея/цветопередачи
Замена дисплея в сборе - КОПИЯ A+,Нет изображения на дисплее
Замена дисплея в сборе - КОПИЯ A+,Артефакты на дисплее
Замена дисплея в сборе - КОПИЯ A+,Произвольные срабатывания тачскрина
Замена дисплея в сборе - КОПИЯ A+,Некорректно работает тачскрин
Замена дисплея в сборе - КОПИЯ A+,Пятно на дисплее
Замена дисплея в сборе - КОПИЯ A+,Нет подсветки
Замена дисплея в сборе - КОПИЯ A+,Не работает экран
Замена дисплея в сборе - КОПИЯ A+,Повреждена матрица
Замена дисплея в сборе - КОПИЯ A+,Не работает Touchscreen
Замена стекла (переклейка дисплея),Разбит экран
Замена стекла (переклейка дисплея),Разбито стекло
Замена стекла (переклейка дисплея),Не работает Touchscreen
Замена дисплея в сборе (оригинальная матрица),Разбит экран
Замена дисплея в сборе (оригинальная матрица),Разбито стекло
Замена дисплея в сборе (оригинальная матрица),Не работает Touchscreen
Полировка стекла,Царапины на стекле
Замена аккумулятора,Быстро разряжается
Замена аккумулятора,Не заряжается
Замена аккумулятора,Не включается
Замена аккумулятора,Перезагружается
Замена аккумулятора,Греется
Замена аккумулятора,Греется и зависает
Замена аккумулятора,Периодически выключается
Замена аккумулятора,Выключается
Замена аккумулятора,Циклическая перезагрузка
Замена аккумулятора,Вздутие аккумуляторной батареи
Замена аккумулятора,Плохо заряжается
Замена аккумулятора,Не держит заряд
Замена аккумулятора - PLUS,Быстро разряжается
Замена аккумулятора - PLUS,Не заряжается
Замена аккумулятора - PLUS,Не включается
Замена аккумулятора - PLUS,Перезагружается
Замена аккумулятора - PLUS,Греется
Замена аккумулятора - PLUS,Греется и зависает
Замена аккумулятора - PLUS,Периодически выключается
Замена аккумулятора - PLUS,Выключается
Замена аккумулятора - PLUS,Циклическая перезагрузка
Замена аккумулятора - PLUS,Вздутие аккумуляторной батареи
Замена аккумулятора - PLUS,Плохо заряжается
Замена аккумулятора - PLUS,Не держит заряд
Проклейка дисплея (восстановление влагозащиты),Выклейка дисплейного модуля
Проклейка дисплея (восстановление влагозащиты),Пыль под камерой
Активация и настройка Apple ID,Забыт пароль
Активация и настройка Apple ID,Заблокирован
Активация и настройка Apple ID,Требует iTunes
Внешняя чистка (без разбора устройства),Пыль под камерой
Внешняя чистка (без разбора устройства),Не слышно собеседника
Внешняя чистка (без разбора устройства),Не слышно владельца телефона
Внешняя чистка (без разбора устройства),Не работает динамик полифонический
Внешняя чистка (без разбора устройства),Не работает динамик слуховой
Внешняя чистка (без разбора устройства),Нет (быстрая работа)
Восстановление после попадания влаги,Попадание влаги
Восстановление слоёв платы,Не прошивается
Замена вибромотора,Не работает вибромотор
Замена винтов,Нет (быстрая работа)
Замена датчика освещения/приближения,Не работает датчик приближения
Замена датчика освещения/приближения,Не работает Face ID
Замена задней крышки в сборе,Разбита задняя крышка
Замена кнопки включения,Не работает кнопка Power
Замена кнопки переключения вибро,Не работает переключатель вибро
Замена кнопок громкости,Не работают кнопки громкости
Замена контроллера USB U2 Tristar,Не заряжается
Замена микрофона,Не работает микрофон
Замена основной камеры,Не работает основная камера
Замена основной камеры,Основная камера не фокусирует
Замена основной камеры,Разбита линза камеры
Замена основной камеры,Отсутствует стекло основной камеры
Замена передней камеры,Не работает фронтальная камера
Замена передней камеры,Не работает Face ID
Замена полифонического динамика,Не работает динамик полифонический
Замена полифонического динамика,Не работает датчик приближения
Замена полифонического динамика,Не работает запись звука с фронтальной камеры
Замена разъема зарядки,Не работает разъем зарядки
Замена разъема зарядки,Не включается
Замена разъема зарядки,Самопроизвольно выключается
Замена разъема зарядки,Не слышно владельца телефона
Замена разъема зарядки,Не работает динамик полифонический
Замена разъема зарядки,Не слышно собеседника
Замена сеточки на слуховой динамик,Плохо слышно собеседника
Замена сим-лотка,Не видит SIM карту
Замена слухового динамика,Не работает динамик слуховой
Замена стекла задней крышки,Разбита задняя крышка
Замена стекла камеры,Разбито стекло камеры
Замена стекла камеры,Отсутствует стекло основной камеры
Замена NFC антенны,Не работает NFC
Замена Wi-Fi/Bluetooth антенны,Плохо ищет Wi-Fi
Замена Wi-Fi/Bluetooth антенны,Не работает Wi-Fi
Обновление ПО,Не прошивается
Обтяжка гидрогелевой защитой,Нет (быстрая работа)
Пайка контроллера аккумулятора (устранение ошибки),Быстро разряжается
Пайка контроллера аккумулятора (устранение ошибки),Вздутие аккумуляторной батареи
Пайка контроллера аккумулятора (устранение ошибки),Не держит заряд
Перенос данных,Забыт пароль
Разбор / сбор,"Разобранный аппарат, нужно собрать"
Разбор / сбор,Диагностика
Ремонт с деталью клиента,Установка клиентской запчасти
Срочный ремонт,Нет
Чистка динамика,Плохо слышно собеседника
Чистка переключателя бесшумного звонка (без разбора),Не работает переключатель вибро
Чистка разъема зарядки/наушников (без разбора устройства),Не работает разъем зарядки
Чистка сеточки верхнего микрофона,Не работает микрофон
Чистка сеточки нижнего микрофона,Не работает микрофон
Чистка сеточки полифонического динамика,Не работает динамик полифонический
