Устройство,Услуга,Цена,Гарантия,Производитель,Тип девайса
  iPhone 11,Замена дисплея в сборе - КОПИЯ,5690.0,90.0,Apple,Смартфон
  iPhone 11,Замена дисплея в сборе - ORIG,8990.0,90.0,Apple,Смартфон
  iPhone 11,Замена стекла (переклейка дисплея),4890.0,90.0,Apple,Смартфон
  iPhone 11,Замена дисплея в сборе (оригинальная матрица),6990.0,90.0,Apple,Смартфон
  iPhone 11,Замена аккумулятора,4790.0,90.0,Apple,Смартфон
  iPhone 11,Замена аккумулятора - PLUS,5390.0,90.0,Apple,Смартфон
  iPhone 11,Проклейка дисплея (восстановление влагозащиты),790.0,0.0,Apple,Смартфон
  iPhone 11,Активация и настройка Apple ID,690.0,0.0,Apple,Смартфон
  iPhone 11,Внешняя чистка (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 11,Восстановление после попадания влаги,2990.0,0.0,Apple,Смартфон
  iPhone 11,Восстановление слоёв платы,1190.0,30.0,Apple,Смартфон
  iPhone 11,Замена аудиокодека,9290.0,0.0,Apple,Смартфон
  iPhone 11,Замена вибромотора,3990.0,90.0,Apple,Смартфон
  iPhone 11,Замена винтов,490.0,14.0,Apple,Смартфон
  iPhone 11,Замена датчика освещения/приближения,3490.0,90.0,Apple,Смартфон
  iPhone 11,Замена задней крышки в сборе,7590.0,90.0,Apple,Смартфон
  iPhone 11,Замена кнопки включения,3290.0,90.0,Apple,Смартфон
  iPhone 11,Замена кнопки переключения вибро,3290.0,90.0,Apple,Смартфон
  iPhone 11,Замена кнопок громкости,3290.0,90.0,Apple,Смартфон
  iPhone 11,Замена контроллера USB U2 Tristar,7990.0,30.0,Apple,Смартфон
  iPhone 11,Замена микрофона,4690.0,90.0,Apple,Смартфон
  iPhone 11,Замена основной камеры,4690.0,90.0,Apple,Смартфон
  iPhone 11,Замена передней камеры,3490.0,90.0,Apple,Смартфон
  iPhone 11,Замена полифонического динамика,4690.0,90.0,Apple,Смартфон
  iPhone 11,Замена разъема зарядки,4690.0,90.0,Apple,Смартфон
  iPhone 11,Замена сеточки на слуховой динамик,2690.0,14.0,Apple,Смартфон
  iPhone 11,Замена сим-лотка,790.0,14.0,Apple,Смартфон
  iPhone 11,Замена слухового динамика,3690.0,90.0,Apple,Смартфон
  iPhone 11,Замена стекла задней крышки,5090.0,90.0,Apple,Смартфон
  iPhone 11,Замена стекла камеры,3290.0,90.0,Apple,Смартфон
  iPhone 11,Замена NFC антенны,3990.0,90.0,Apple,Смартфон
  iPhone 11,Замена Wi-Fi/Bluetooth антенны,4290.0,90.0,Apple,Смартфон
  iPhone 11,Обновление ПО,890.0,0.0,Apple,Смартфон
  iPhone 11,Обтяжка гидрогелевой защитой,1290.0,14.0,Apple,Смартфон
  iPhone 11,Пайка контроллера аккумулятора (устранение ошибки),2490.0,30.0,Apple,Смартфон
  iPhone 11,Перенос данных,890.0,0.0,Apple,Смартфон
  iPhone 11,Полировка стекла,4290.0,0.0,Apple,Смартфон
  iPhone 11,Разбор / сбор,2590.0,0.0,Apple,Смартфон
  iPhone 11,Ремонт с деталью клиента,2590.0,0.0,Apple,Смартфон
  iPhone 11,Срочный ремонт,690.0,0.0,Apple,Смартфон
  iPhone 11,Чистка динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11,Чистка переключателя бесшумного звонка (без разбора),590.0,0.0,Apple,Смартфон
  iPhone 11,Чистка разъема зарядки/наушников (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 11,Чистка сеточки верхнего микрофона,2290.0,0.0,Apple,Смартфон
  iPhone 11,Чистка сеточки нижнего микрофона,2290.0,0.0,Apple,Смартфон
  iPhone 11,Чистка сеточки полифонического динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11,Чистка сеточки фронтального микрофона и слухового динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11,Чистка стекла основной камеры,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Замена дисплея в сборе - КОПИЯ A+,8390.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена дисплея в сборе - КОПИЯ,7190.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена дисплея в сборе - ORIG,12690.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена стекла (переклейка дисплея),6790.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена дисплея в сборе (оригинальная матрица),10990.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена аккумулятора,4890.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена аккумулятора - PLUS,5990.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Проклейка дисплея (восстановление влагозащиты),790.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Активация и настройка Apple ID,690.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Внешняя чистка (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Восстановление после попадания влаги,2990.0,0.0,Apple,Смартфон
